image_name,biomarker_id,x_px,y_px,probability
1c RGB,1,1180.16,305.80,0.994776
1c RGB,1,1075.67,333.46,0.990293
1c RGB,1,1115.62,597.76,0.998326
1c RGB,1,949.66,596.23,0.999749
1c RGB,1,1364.56,539.37,0.999896
1c RGB,1,1415.27,729.92,0.991494
1c RGB,1,542.44,1114.08,0.999102
1c RGB,1,52.25,1095.64,0.996760
1c RGB,1,107.57,1865.51,0.990179
1c RGB,1,93.74,774.48,0.988559
1c RGB,1,304.26,739.14,0.997228
1c RGB,1,516.32,582.40,0.996011
1c RGB,1,1545.75,1087.25,0.996922
2a RGB,1,1015.24,254.22,0.992031
2a RGB,1,939.79,757.74,0.993456
2a RGB,1,783.98,1095.61,0.992669
2a RGB,1,964.40,1151.37,0.995001
2a RGB,1,1172.69,1397.39,0.942843
2a RGB,1,1153.01,1535.16,0.991192
2a RGB,1,1253.06,1795.94,0.986666
2a RGB,1,882.39,1986.20,0.345957
2a RGB,1,372.31,1469.56,0.983294
2a RGB,1,885.67,674.09,0.997526
2a RGB,1,1671.29,774.14,0.997025
2b RGB,1,894.88,103.98,0.991817
2b RGB,1,1113.88,154.40,0.996949
2b RGB,1,1214.71,17.33,0.998498
2b RGB,1,1603.86,69.32,0.962608
2b RGB,1,1898.48,176.46,0.998488
2b RGB,1,1950.47,45.69,0.994784
2b RGB,1,152.82,463.20,0.998180
2b RGB,1,7.88,436.41,0.993963
2b RGB,1,168.58,527.79,0.996998
2b RGB,1,203.24,814.53,0.973737
2b RGB,1,855.50,720.00,0.994144
2b RGB,1,1011.47,792.48,0.996567
2b RGB,1,931.12,893.31,0.994814
2b RGB,1,1526.66,1039.83,0.996516
2b RGB,1,1532.96,1013.05,0.992383
2b RGB,1,836.59,1301.36,0.993459
2b RGB,1,905.91,1422.68,0.988009
2b RGB,1,1020.92,1789.77,0.994997
2b RGB,1,883.86,1764.56,0.987423
2b RGB,1,653.83,1882.72,0.993588
2b RGB,1,1584.95,1729.90,0.994658
2b RGB,1,1865.39,1553.44,0.996292
2b RGB,1,1966.22,1907.93,0.979007
2b RGB,1,1361.23,1403.77,0.997666
2b RGB,1,1115.45,1060.31,0.997501
2c RGB,1,115.01,296.19,0.999908
2c RGB,1,96.11,642.80,0.989749
2c RGB,1,122.89,641.23,0.998305
2c RGB,1,439.56,1118.61,0.968645
2c RGB,1,557.73,1211.56,0.979562
2c RGB,1,264.68,1181.63,0.847543
2c RGB,1,1323.42,1572.35,0.988448
2c RGB,1,1740.93,1703.12,0.997684
2c RGB,1,2045.00,1758.26,0.950515
2c RGB,1,1636.95,1106.00,0.996177
2c RGB,1,1145.39,586.09,0.997087
2c RGB,1,916.94,557.73,0.998969
2c RGB,1,2044.08,35.36,0.974940
3a RGB,1,1074.27,54.48,0.999751
3a RGB,1,917.81,69.85,0.999913
3a RGB,1,820.02,180.21,0.999879
3a RGB,1,1356.46,85.22,0.999800
3a RGB,1,305.40,359.21,0.999773
3a RGB,1,273.40,520.63,0.999017
3a RGB,1,182.07,644.54,0.999793
3a RGB,1,1065.82,406.66,0.999855
3a RGB,1,1764.85,423.94,0.999375
3a RGB,1,1679.79,519.62,0.999404
3a RGB,1,1558.86,471.78,0.999837
3a RGB,1,1370.15,487.72,0.999584
3a RGB,1,1185.42,546.20,0.999818
3a RGB,1,1528.29,628.59,0.999880
3a RGB,1,877.11,931.59,0.999333
3a RGB,1,699.03,902.36,0.998568
3a RGB,1,555.50,875.78,0.999661
3a RGB,1,733.58,568.79,0.999496
3a RGB,1,899.70,381.41,0.999910
3a RGB,1,317.62,1067.15,0.999176
3a RGB,1,236.55,847.87,0.999653
3a RGB,1,229.91,1194.73,0.997460
3a RGB,1,526.26,1081.77,0.996837
3a RGB,1,607.33,1177.45,0.999081
3a RGB,1,729.59,1294.40,0.999326
3a RGB,1,523.61,1275.79,0.998061
3a RGB,1,527.59,1452.54,0.999254
3a RGB,1,267.12,1512.35,0.995812
3a RGB,1,239.21,1544.24,0.997009
3a RGB,1,244.53,1685.11,0.997121
3a RGB,1,732.25,1562.85,0.998011
3a RGB,1,962.16,1503.04,0.993988
3a RGB,1,1113.66,1370.15,0.998389
3a RGB,1,1126.95,1099.04,0.997930
3a RGB,1,1673.15,902.36,0.999619
3a RGB,1,1909.70,1003.36,0.999154
3a RGB,1,1056.17,1849.75,0.998180
3a RGB,1,694.39,1929.50,0.997489
3a RGB,1,696.33,1952.84,0.994897
3a RGB,1,1941.17,1754.45,0.998990
3b RGB,1,263.11,118.16,0.998230
3b RGB,1,159.13,255.23,0.966377
3b RGB,1,656.98,118.16,0.999898
3b RGB,1,1841.76,26.78,0.996689
3b RGB,1,998.87,225.30,0.999871
3b RGB,1,1148.54,289.89,0.999698
3b RGB,1,1186.35,354.49,0.998877
3b RGB,1,1361.23,313.52,0.999826
3b RGB,1,1320.27,411.21,0.999123
3b RGB,1,1191.08,512.04,0.999815
3b RGB,1,1520.36,499.43,0.999547
3b RGB,1,1679.48,806.66,0.998568
3b RGB,1,1685.79,910.64,0.996332
3b RGB,1,1580.23,1076.07,0.998984
3b RGB,1,1239.92,1156.42,0.999241
3b RGB,1,1458.91,1347.05,0.992402
3b RGB,1,348.19,1460.49,0.998519
3b RGB,1,294.62,962.63,0.994652
3b RGB,1,463.20,800.35,0.999185
3b RGB,1,557.73,630.20,0.999457
3b RGB,1,575.06,239.48,0.999531
3b RGB,1,781.00,822.60,0.998316
3b RGB,1,1813.58,1871.34,0.988411
3b RGB,1,1951.15,534.11,0.996824
3b RGB,1,2036.99,602.24,0.986259
3b RGB,1,1127.76,811.21,0.999493
3b RGB,1,861.05,909.96,0.997581
3b RGB,1,588.87,563.68,0.999411
3b RGB,1,1712.61,13.27,0.995681
3c RGB,1,1044.76,203.38,0.997949
4a RGB,1,644.06,36.22,0.998432
4a RGB,1,163.77,289.75,0.999644
4a RGB,1,532.26,314.95,0.998694
4a RGB,1,422.03,538.56,0.996961
4a RGB,1,256.68,467.69,0.999101
4a RGB,1,656.66,598.40,0.995097
4a RGB,1,231.49,829.88,0.997104
4a RGB,1,423.60,1080.27,0.997341
4a RGB,1,409.43,1099.16,0.995234
4a RGB,1,551.16,908.62,0.993559
4a RGB,1,2014.08,170.07,0.988930
4a RGB,1,1724.33,262.98,0.998932
4a RGB,1,1562.13,598.40,0.996476
4a RGB,1,1673.94,631.47,0.991087
4a RGB,1,1420.41,798.39,0.994663
4a RGB,1,869.25,1122.78,0.995059
4a RGB,1,820.43,1333.80,0.918009
4a RGB,1,458.25,1296.00,0.998498
4a RGB,1,234.63,1609.37,0.993608
4a RGB,1,595.25,1869.20,0.982285
4a RGB,1,1244.04,1774.72,0.995513
4a RGB,1,1645.59,1226.71,0.922053
4b RGB,1,564.03,316.68,0.994735
4b RGB,1,411.21,501.01,0.992281
4b RGB,1,724.73,702.67,0.987145
4b RGB,1,1347.05,1060.31,0.939238
4b RGB,1,1350.20,449.02,0.998826
4b RGB,1,852.35,1310.82,0.997215
4b RGB,1,315.10,1384.87,0.898626
4b RGB,1,1971.54,928.15,0.988356
4b RGB,1,822.12,1618.11,0.997103
4b RGB,1,422.58,527.08,0.998034
4c RGB,1,1407.81,39.37,0.997122
4c RGB,1,1722.76,261.41,0.998092
4c RGB,1,1273.96,207.86,0.999849
4c RGB,1,1266.08,229.91,0.999852
4c RGB,1,777.92,395.26,0.999713
4c RGB,1,544.86,651.94,0.989926
4c RGB,1,670.84,548.01,0.996617
4c RGB,1,434.63,508.64,0.997931
4c RGB,1,1091.29,738.55,0.999267
4c RGB,1,1143.25,417.30,0.999819
4c RGB,1,1303.88,437.78,0.998165
4c RGB,1,749.57,1182.62,0.998599
4c RGB,1,751.15,1209.39,0.998145
4c RGB,1,1037.75,1286.55,0.996841
4c RGB,1,1269.23,1651.89,0.999541
4c RGB,1,1558.98,1505.44,0.937100
4c RGB,1,1776.30,1286.55,0.995655
4c RGB,1,1558.98,1248.76,0.977097
4c RGB,1,1445.60,999.95,0.996415
4c RGB,1,642.49,1683.39,0.981247
4c RGB,1,828.31,1061.37,0.997912
5a RGB,1,727.88,80.35,0.999400
5a RGB,1,1145.39,190.64,0.997760
5a RGB,1,1071.34,282.01,0.984072
5a RGB,1,1892.18,75.62,0.997661
5a RGB,1,381.27,143.37,0.999090
5a RGB,1,365.52,230.02,0.999449
5a RGB,1,53.57,259.96,0.994841
5a RGB,1,14.18,248.93,0.996304
5a RGB,1,252.08,553.00,0.999233
5a RGB,1,337.16,420.66,0.997932
5a RGB,1,557.73,341.88,0.999240
5a RGB,1,767.27,551.43,0.998368
5a RGB,1,874.40,604.99,0.996774
5a RGB,1,842.89,672.74,0.996157
5a RGB,1,1049.28,701.10,0.985832
5a RGB,1,1224.16,726.31,0.996904
5a RGB,1,1399.04,669.59,0.992891
5a RGB,1,1870.12,526.22,0.999589
5a RGB,1,1808.67,1036.68,0.998876
5a RGB,1,1997.73,1080.79,0.992264
5a RGB,1,1577.08,786.17,0.995836
5a RGB,1,1156.42,937.42,0.998696
5a RGB,1,1695.24,1652.70,0.994810
5a RGB,1,1739.35,1673.18,0.997900
5a RGB,1,1841.76,1818.13,0.996753
5a RGB,1,1824.43,1514.06,0.999126
5a RGB,1,1959.92,1463.64,0.999192
5a RGB,1,1597.56,1336.02,0.994717
5a RGB,1,1296.64,1391.17,0.997794
5a RGB,1,7.88,1003.59,0.990758
5a RGB,1,1616.96,259.45,0.998178
5a RGB,1,760.34,1985.25,0.998616
5b RGB,1,582.94,272.56,0.997535
5b RGB,1,1295.06,346.61,0.878182
5b RGB,1,1422.68,250.50,0.964871
5b RGB,1,1670.03,264.68,0.905839
5b RGB,1,2037.12,557.73,0.982055
5b RGB,1,1586.53,779.87,0.998142
5b RGB,1,1372.26,869.68,0.998638
5b RGB,1,1050.86,887.01,0.979421
5b RGB,1,532.52,972.08,0.998490
5b RGB,1,942.15,1161.14,0.996736
5b RGB,1,1022.50,1455.76,0.999682
5b RGB,1,1192.65,1539.26,0.998695
5b RGB,1,1749.83,1246.29,0.996898
5b RGB,1,1150.38,805.46,0.990391
5b RGB,1,646.21,43.43,0.970977
5b RGB,1,523.52,397.61,0.998325
5c RGB,1,1047.20,1930.62,0.999090
5c RGB,1,1174.75,1716.46,0.999856
5c RGB,1,1262.93,1525.91,0.999091
5c RGB,1,1461.35,1384.19,0.999248
5c RGB,1,1077.12,1250.34,0.999869
5c RGB,1,314.95,1547.96,0.998741
5c RGB,1,141.73,1314.90,0.999175
5c RGB,1,533.83,1332.22,0.999570
5c RGB,1,955.86,1121.21,0.999582
5c RGB,1,579.50,1039.32,0.999170
5c RGB,1,571.63,925.94,0.995420
5c RGB,1,1258.21,1042.47,0.999835
5c RGB,1,1538.51,1174.75,0.999928
5c RGB,1,1617.25,1036.17,0.999333
5c RGB,1,1469.22,929.09,0.999252
5c RGB,1,1535.36,622.02,0.999926
5c RGB,1,1258.21,511.79,0.996430
5c RGB,1,974.76,626.74,0.999082
5c RGB,1,655.09,595.25,0.987303
5c RGB,1,486.59,292.90,0.980751
5c RGB,1,1221.99,9.45,0.993969
5c RGB,1,154.32,1522.76,0.999476
5c RGB,1,1152.70,137.00,0.999381
6a RGB,1,241.05,80.35,0.995468
6a RGB,1,672.74,100.83,0.993808
6a RGB,1,812.96,105.56,0.996709
6a RGB,1,803.51,28.36,0.976355
6a RGB,1,1025.65,167.00,0.994988
6a RGB,1,1052.43,152.82,0.996063
6a RGB,1,636.50,244.20,0.984537
6a RGB,1,291.47,436.41,0.990821
6a RGB,1,1539.22,121.99,0.987134
6a RGB,1,1506.09,650.63,0.954404
6a RGB,1,1918.75,882.57,0.969640
6a RGB,1,1506.09,891.60,0.980170
6a RGB,1,542.19,1370.54,0.989025
6a RGB,1,730.45,1331.38,0.990016
6a RGB,1,909.76,929.25,0.989707
6a RGB,1,217.32,1675.65,0.995002
6a RGB,1,656.47,1593.21,0.990160
6a RGB,1,981.71,1761.08,0.982519
6a RGB,1,1321.93,1103.11,0.996214
6a RGB,1,1287.46,939.74,0.989959
6a RGB,1,1065.64,578.53,0.972431
6a RGB,1,930.75,505.09,0.996476
6a RGB,1,413.67,1491.30,0.989159
6a RGB,1,627.99,1068.64,0.996362
6a RGB,1,654.97,1326.43,0.987490
6b RGB,1,633.35,269.41,0.998613
6b RGB,1,731.03,255.23,0.997652
6b RGB,1,694.80,668.01,0.998015
6b RGB,1,475.80,653.83,0.992280
6b RGB,1,356.06,513.61,0.997635
6b RGB,1,1260.40,524.64,0.999356
6b RGB,1,1747.23,1564.47,0.998166
6b RGB,1,1428.98,1525.08,0.995845
6b RGB,1,1230.47,1492.00,0.987320
6b RGB,1,2024.52,2018.22,0.892863
6b RGB,1,1948.89,1961.50,0.988944
6b RGB,1,1094.97,1969.38,0.948099
6b RGB,1,723.15,1955.20,0.972920
6b RGB,1,541.97,1414.80,0.996656
6b RGB,1,461.62,1392.74,0.998375
6b RGB,1,1542.42,149.67,0.992370
6b RGB,1,1896.90,811.38,0.996959
6b RGB,1,984.69,612.87,0.998013
6b RGB,1,1781.89,381.27,0.999691
6b RGB,1,1701.54,231.60,0.998040
6b RGB,1,939.00,1739.35,0.994367
6b RGB,1,1592.83,1904.78,0.993555
6b RGB,1,1551.87,1887.45,0.992985
6b RGB,1,168.58,1246.22,0.996855
6b RGB,1,718.43,419.08,0.999366
6b RGB,1,1762.99,1630.64,0.986163
6b RGB,1,59.87,218.99,0.986625
6b RGB,1,1165.87,756.24,0.998867
6b RGB,1,1285.61,387.57,0.999243
6b RGB,1,1570.77,1350.20,0.994386
6b RGB,1,1400.62,1006.74,0.997936
6c RGB,1,26.78,6.30,0.931393
6c RGB,1,737.33,37.81,0.993642
6c RGB,1,987.84,135.49,0.990618
6c RGB,1,1446.31,12.60,0.989444
6c RGB,1,1312.39,496.28,0.994861
6c RGB,1,1323.42,573.48,0.993887
6c RGB,1,1447.89,523.07,0.998690
6c RGB,1,1698.39,627.05,0.993520
6c RGB,1,1417.95,822.41,0.994215
6c RGB,1,956.33,950.03,0.988335
6c RGB,1,541.97,905.91,0.995178
6c RGB,1,472.65,927.97,0.995199
6c RGB,1,1597.56,1881.15,0.995571
6c RGB,1,1726.75,2030.82,0.998468
6c RGB,1,374.97,1941.02,0.983422
6c RGB,1,437.99,1928.41,0.994678
6c RGB,1,412.78,1884.30,0.988339
6c RGB,1,99.26,1952.05,0.996434
6c RGB,1,743.64,1616.46,0.997379
6c RGB,1,562.45,1504.60,0.987913
6c RGB,1,883.86,1454.19,0.994582
6c RGB,1,2022.94,1277.73,0.984523
6c RGB,1,1536.11,1298.21,0.999374
6c RGB,1,1857.52,1217.86,0.994710
6c RGB,1,1885.87,1068.19,0.996709
6c RGB,1,1323.42,116.59,0.993969
6c RGB,1,510.46,482.10,0.994459
6c RGB,1,275.71,426.96,0.991757
6c RGB,1,222.15,1123.33,0.995593
1b RGB marked,0,958.01,215.52,0.000552
1b RGB marked,0,490.85,120.74,0.000413
1b RGB marked,0,390.43,95.91,0.000208
1b RGB marked,0,10.16,119.61,0.005605
1b RGB marked,0,128.64,854.20,0.000961
1b RGB marked,0,1359.72,1360.85,0.000099
1b RGB marked,0,1710.65,1284.11,0.000555
1b RGB marked,0,1729.83,1361.97,0.000086
1b RGB marked,0,1657.61,1820.10,0.000187
1b RGB marked,0,1831.39,1875.39,0.000125
1b RGB marked,0,1776.10,1894.58,0.000003
1b RGB marked,0,1884.42,2006.29,0.002377
1b RGB marked,0,1912.63,1902.48,0.000235
1b RGB marked,0,1033.61,1987.11,0.000553
1b RGB marked,0,288.87,1192.71,0.001362
1b RGB marked,0,668.01,461.51,0.000135
1b RGB marked,0,753.77,269.69,0.000261
1b RGB marked,0,1814.46,517.93,0.006998
1b RGB marked,0,785.19,1531.24,0.000008
1b RGB marked,0,712.66,909.53,0.000072
1b RGB marked,0,848.51,427.13,0.000899
1b RGB marked,0,74.83,581.41,0.000010
1b RGB marked,0,1023.84,1506.66,0.000135
1b RGB marked,0,1213.20,607.44,0.000311
1b RGB marked,0,1259.84,1314.49,0.000535
1b RGB marked,0,1952.94,881.89,0.000232
1c RGB marked,0,1053.51,871.94,0.000068
1c RGB marked,0,1310.99,808.34,0.000036
1c RGB marked,0,1041.20,740.64,0.000429
1c RGB marked,0,1031.97,1058.64,0.000106
1c RGB marked,0,1308.94,1039.15,0.000024
1c RGB marked,0,1357.15,1215.59,0.000020
1c RGB marked,0,1222.77,1581.81,0.001506
1c RGB marked,0,1351.00,1729.52,0.000003
1c RGB marked,0,1380.75,1984.95,0.000048
1c RGB marked,0,1688.49,1641.30,0.000052
1c RGB marked,0,1726.45,1063.77,0.000222
1c RGB marked,0,1753.12,776.54,0.002331
1c RGB marked,0,1454.61,539.58,0.000047
1c RGB marked,0,424.69,408.27,0.000009
1c RGB marked,0,366.22,694.48,0.000007
1c RGB marked,0,295.43,1530.52,0.001831
1c RGB marked,0,99.50,1711.06,0.000027
1c RGB marked,0,1146.86,2000.34,0.000194
1c RGB marked,0,1247.39,1925.45,0.000034
1c RGB marked,0,572.40,1255.60,0.000127
1c RGB marked,0,1741.83,491.37,0.000025
1c RGB marked,0,1709.16,1991.09,0.004262
1c RGB marked,0,331.26,1023.15,0.000161
1c RGB marked,0,622.58,761.19,0.000053
1c RGB marked,0,727.13,825.80,0.000021
2a RGB marked,0,1571.96,16.36,0.024470
2a RGB marked,0,1590.13,129.03,0.002783
2a RGB marked,0,390.06,865.10,0.001036
2a RGB marked,0,179.17,784.55,0.011538
2a RGB marked,0,1437.38,1512.47,0.000237
2a RGB marked,0,881.12,1555.38,0.000178
2a RGB marked,0,1828.14,1866.45,0.010447
2a RGB marked,0,1605.94,1783.70,0.000938
2a RGB marked,0,988.39,335.59,0.000144
2a RGB marked,0,383.10,488.83,0.000638
2b RGB marked,0,917.08,1172.51,0.000016
2b RGB marked,0,50.26,1320.22,0.000216
2b RGB marked,0,1831.09,561.05,0.000327
2b RGB marked,0,1759.31,1410.67,0.000433
2b RGB marked,0,1857.46,1968.79,0.000667
2b RGB marked,0,1318.39,1721.23,0.000206
2b RGB marked,0,1021.02,1649.45,0.000396
2b RGB marked,0,1084.01,1554.23,0.000123
2b RGB marked,0,451.18,925.80,0.000331
2b RGB marked,0,1300.81,612.32,0.000049
2b RGB marked,0,314.77,1703.70,0.000041
2b RGB marked,0,519.73,1159.41,0.000395
2c RGB marked,0,1084.10,742.76,0.002566
2c RGB marked,0,1323.03,696.33,0.000079
2c RGB marked,0,1501.90,619.87,0.003892
2c RGB marked,0,765.97,2028.92,0.000240
2c RGB marked,0,1882.83,496.99,0.000442
2c RGB marked,0,1850.06,772.79,0.000308
2c RGB marked,0,1845.97,219.82,0.000390
2c RGB marked,0,879.29,341.34,0.014296
2c RGB marked,0,113.32,1485.51,0.000534
3a overlay without scale,0,1453.37,1298.78,0.000069
3a overlay without scale,0,1523.33,1445.48,0.000083
3a overlay without scale,0,2006.29,1601.19,0.000064
3a overlay without scale,0,657.85,1804.31,0.000067
3a overlay without scale,0,343.03,1833.64,0.000717
3a overlay without scale,0,109.45,1482.71,0.000064
3a overlay without scale,0,199.73,473.93,0.000415
3a overlay without scale,0,1545.90,141.05,0.000068
3a overlay without scale,0,1702.75,677.04,0.001315
3a overlay without scale,0,1955.51,762.80,0.000170
3a overlay without scale,0,971.55,1774.97,0.000293
3a overlay without scale,0,53.03,406.22,0.000895
3a overlay without scale,0,1919.40,894.82,0.000045
3a overlay without scale,0,1271.70,1046.02,0.000885
3a overlay without scale,0,1286.37,1750.14,0.000664
3a overlay without scale,0,656.73,396.07,0.000218
3a overlay without scale,0,2023.21,1169.02,0.000332
3b RGB marked,0,1388.66,1487.01,0.000014
3b RGB marked,0,1336.95,1422.58,0.000034
3b RGB marked,0,183.97,1643.00,0.000198
3b RGB marked,0,189.90,1602.31,0.000240
3b RGB marked,0,126.32,1655.72,0.005052
3b RGB marked,0,80.54,1281.00,0.009238
3b RGB marked,0,273.83,1343.73,0.000140
3b RGB marked,0,167.86,1091.09,0.000429
3b RGB marked,0,233.99,1063.12,0.000027
3b RGB marked,0,137.34,782.50,0.013017
3b RGB marked,0,283.16,681.62,0.000675
3b RGB marked,0,345.89,645.16,0.000245
3b RGB marked,0,313.68,428.98,0.000295
3b RGB marked,0,155.99,496.80,0.006463
3b RGB marked,0,1957.53,370.48,0.000648
3b RGB marked,0,1757.45,373.02,0.000121
3b RGB marked,0,1450.55,1598.91,0.000050
3b RGB marked,0,984.27,1626.89,0.025793
3b RGB marked,0,838.46,1371.71,0.000029
3b RGB marked,0,786.74,1398.84,0.000044
3b RGB marked,0,192.45,1784.58,0.000638
3b RGB marked,0,276.38,2010.94,0.000135
3b RGB marked,0,856.26,2008.39,0.000076
3b RGB marked,0,829.13,1970.24,0.000083
3b RGB marked,0,1374.25,2013.48,0.000354
3b RGB marked,0,1847.31,647.70,0.000009
3b RGB marked,0,1829.51,577.34,0.000010
3b RGB marked,0,1761.69,613.79,0.000012
3b RGB marked,0,1927.01,75.45,0.000216
3b RGB marked,0,806.24,71.21,0.001359
3b RGB marked,0,1218.26,100.04,0.000005
3b RGB marked,0,1318.30,76.30,0.000036
3b RGB marked,0,679.07,1080.92,0.000029
3b RGB marked,0,627.36,1085.16,0.000080
3b RGB marked,0,636.68,1563.31,0.000061
3b RGB marked,0,520.54,1530.24,0.001396
3b RGB marked,0,688.40,1771.86,0.000023
3b RGB marked,0,454.41,1908.35,0.005855
3b RGB marked,0,1442.92,1732.02,0.000141
3b RGB marked,0,2044.85,1534.48,0.000016
3b RGB marked,0,1609.94,125.47,0.000029
3b RGB marked,0,287.40,454.41,0.002248
3b RGB marked,0,243.31,1139.42,0.000036
3b RGB marked,0,403.54,1280.15,0.000014
3b RGB marked,0,403.54,1459.88,0.000012
3b RGB marked,0,1884.62,1520.92,0.000277
3b RGB marked,0,1512.44,818.11,0.000323
3b overlay1,0,276.97,677.97,0.003414
3b overlay1,0,351.57,646.26,0.000208
3b overlay1,0,311.47,431.77,0.000190
3c-overlay-,0,1106.85,297.49,0.000086
3c-overlay-,0,1149.94,322.11,0.000010
3c-overlay-,0,806.29,94.37,0.000013
3c-overlay-,0,131.30,761.15,0.018755
3c-overlay-,0,151.82,987.86,0.000174
3c-overlay-,0,295.43,1148.91,0.031987
3c-overlay-,0,1377.67,1274.06,0.000373
3c-overlay-,0,1385.88,1460.76,0.000348
3c-overlay-,0,1494.61,1577.70,0.000072
3c-overlay-,0,1261.75,1635.15,0.000012
3c-overlay-,0,1260.73,1809.54,0.000056
3c-overlay-,0,1740.81,1984.95,0.000291
3c-overlay-,0,132.33,115.92,0.000106
3c-overlay-,0,423.66,1503.84,0.000028
3c-overlay-,0,413.40,1680.28,0.000035
3c-overlay-,0,23.59,1928.53,0.000014
3c-overlay-,0,52.32,1872.11,0.000014
3c-overlay-,0,958.11,1707.98,0.000015
3c-overlay-,0,937.59,1276.11,0.003621
3c-overlay-,0,843.22,1187.89,0.004099
3c-overlay-,0,694.48,1199.18,0.000917
3c-overlay-,0,880.15,1061.72,0.000639
3c-overlay-,0,1460.76,291.33,0.000009
3c-overlay-,0,1903.91,779.62,0.000425
3c-overlay-,0,861.68,567.28,0.000019
3c-overlay-,0,882.20,21.54,0.000287
4a RGB marked,0,1264.60,1528.93,0.000016
4a RGB marked,0,826.04,2012.54,0.000444
4a RGB marked,0,814.03,1821.80,0.000053
4a RGB marked,0,307.89,1318.66,0.000005
4a RGB marked,0,295.87,1282.62,0.000025
4a RGB marked,0,240.30,1422.29,0.000053
4a RGB marked,0,39.05,1297.64,0.000020
4a RGB marked,0,6.01,1476.36,0.000019
4a RGB marked,0,69.09,1477.86,0.000006
4a RGB marked,0,681.86,428.04,0.001009
4a RGB marked,0,911.65,464.09,0.000013
4a RGB marked,0,1458.34,196.75,0.000304
4a RGB marked,0,1814.29,84.11,0.000762
4a RGB marked,0,1860.85,273.34,0.000101
4a RGB marked,0,1683.62,449.07,0.000110
4a RGB marked,0,1943.45,678.86,0.000389
4a RGB marked,0,1856.34,895.13,0.000317
4a RGB marked,0,1548.45,1019.79,0.004183
4a RGB marked,0,958.21,1046.82,0.000031
4a RGB marked,0,1025.79,1162.47,0.000045
4a RGB marked,0,1034.81,1281.12,0.000033
4a RGB marked,0,578.23,802.01,0.000001
4a RGB marked,0,1773.73,561.04,0.000076
4a RGB marked,0,646.68,1463.42,0.000112
4a RGB marked,0,600.76,1360.39,0.000680
4a RGB marked,0,1854.41,1185.38,0.000132
4a overlay,0,827.41,2008.44,0.000302
4a overlay,0,1018.56,1163.29,0.000064
4a overlay,0,958.48,1055.42,0.000104
4a overlay,0,914.79,471.05,0.000043
4a overlay,0,831.50,401.42,0.000170
4a overlay,0,673.12,420.53,0.000670
4a overlay,0,1467.76,193.88,0.000293
4a overlay,0,1406.32,213.00,0.000411
